title_term,title_df,title_cf,title_idf
遂,1,1,2.397940008672037
左,2,2,2.0969100130080562
塞,4,4,1.7958800173440752
荆,1,1,2.397940008672037
岳,4,5,1.7958800173440752
玩,1,1,2.397940008672037
鹦,1,1,2.397940008672037
贬,1,2,2.397940008672037
兵,1,1,2.397940008672037
盱,1,1,2.397940008672037
风,1,1,2.397940008672037
李,7,7,1.5528419686577806
歌,10,11,1.3979400086720375
辋,2,2,2.0969100130080562
著,1,1,2.397940008672037
古,7,7,1.5528419686577806
门,3,3,1.9208187539523751
少,4,5,1.7958800173440752
问,1,1,2.397940008672037
韵,1,1,2.397940008672037
事,3,3,1.9208187539523751
遣,2,2,2.0969100130080562
留,3,4,1.9208187539523751
连,1,1,2.397940008672037
一,2,2,2.0969100130080562
积,2,2,2.0969100130080562
不,5,5,1.6989700043360185
庾,1,1,2.397940008672037
破,1,1,2.397940008672037
长,6,6,1.6197887582883939
发,2,2,2.0969100130080562
夏,2,2,2.0969100130080562
仙,2,2,2.0969100130080562
琵,1,1,2.397940008672037
鹳,1,1,2.397940008672037
城,4,4,1.7958800173440752
澈,1,1,2.397940008672037
喜,2,2,2.0969100130080562
耳,1,1,2.397940008672037
马,2,2,2.0969100130080562
已,1,1,2.397940008672037
经,2,2,2.0969100130080562
进,1,1,2.397940008672037
车,1,1,2.397940008672037
儋,1,1,2.397940008672037
师,2,2,2.0969100130080562
州,12,13,1.3187587626244126
沙,1,1,2.397940008672037
友,1,1,2.397940008672037
静,1,1,2.397940008672037
书,4,4,1.7958800173440752
任,1,1,2.397940008672037
曹,4,4,1.7958800173440752
潜,1,1,2.397940008672037
贼,1,1,2.397940008672037
情,1,1,2.397940008672037
石,3,3,1.9208187539523751
郊,1,1,2.397940008672037
元,4,4,1.7958800173440752
又,1,1,2.397940008672037
关,2,2,2.0969100130080562
集,3,3,1.9208187539523751
本,1,1,2.397940008672037
笛,1,1,2.397940008672037
操,1,1,2.397940008672037
枫,1,1,2.397940008672037
九,3,4,1.9208187539523751
酒,3,3,1.9208187539523751
作,4,4,1.7958800173440752
而,1,1,2.397940008672037
瑶,2,2,2.0969100130080562
